geoid,lon,lat
20077,-98.075483,37.191623
20079,-97.427231,38.043217
20081,-100.871190,37.562226
20083,-99.897924,38.087485
20085,-95.793669,39.416823
20087,-95.383439,39.235763
20089,-98.218331,39.784738
20091,-94.822310,38.883759
20093,-101.319889,38.000255
20095,-98.136336,37.558898
20097,-99.286073,37.558252
20099,-95.297573,37.191307
20101,-100.466427,38.481332
20103,-95.037980,39.199295
20105,-98.207701,39.045317
20107,-94.842974,38.212260
20109,-101.148410,38.917304
20111,-96.152645,38.456194
20113,-97.648026,38.391654
20115,-97.096893,38.358867
20117,-96.522943,39.783569
20119,-100.366244,37.238136
20121,-94.838096,38.563532
20123,-98.209373,39.393271
20125,-95.742879,37.192522
20127,-96.649888,38.687421
20129,-101.799249,37.191388
20131,-96.014080,39.783412
20133,-95.306796,37.558495
20135,-99.916149,38.479419
20137,-99.903486,39.784381
20139,-95.726905,38.652320
20141,-98.767945,39.350334
20143,-97.650217,39.132537
20145,-99.236712,38.181319
20147,-99.347007,39.784566
20149,-96.342435,39.379016
20151,-98.739623,37.647734
20153,-101.075850,39.785189
20155,-98.085984,37.952954
20157,-97.650618,39.827769
20159,-98.200986,38.347173
20161,-96.735180,39.296469
20163,-99.325016,39.350228
20165,-99.309152,38.523126
20167,-98.762391,38.914809
20169,-97.649954,38.783812
20171,-100.906861,38.482177
20173,-97.460985,37.684768
20175,-100.851341,37.193325
20177,-95.756522,39.041509
20179,-100.441828,39.350336
20181,-101.719983,39.351449
20183,-98.785462,39.785161
20185,-98.717426,38.030981
20187,-101.784217,37.563006
20189,-101.312057,37.192341
20191,-97.476548,37.237312
20193,-101.055559,39.350918
20195,-99.872822,38.914306
20197,-96.204973,38.953263
20199,-101.763615,38.916680
20201,-97.087535,39.784180
20203,-101.347378,38.482073
20205,-95.743418,37.559266
20207,-95.740134,37.886696
20209,-94.764553,39.114614
21001,-85.280632,37.104167
21003,-86.190416,36.751249
21005,-84.990992,38.003916
21007,-88.999258,37.058480
21009,-85.933665,36.965584
21011,-83.742680,38.144953
21013,-83.674082,36.730647
21015,-84.728014,38.969957
21017,-84.217164,38.206738
21019,-82.687779,38.359560
21021,-84.866839,37.624336
21023,-84.090143,38.688797
21025,-83.324061,37.521616
21027,-86.429338,37.773389
21029,-85.695860,37.970074
21031,-86.681627,37.207284
21033,-87.867864,37.145407
21035,-88.272255,36.621013
21037,-84.379516,38.946513
21039,-88.970981,36.853200
21041,-85.123547,38.667850
21043,-83.049537,38.318186
21045,-84.928333,37.322303
21047,-87.490456,36.894171
21049,-84.147419,37.970821
